                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67666,                 0.4989,                 1.0514,                 0.9175,                0.89899,                0.95044,                0.79345,                0.71012,                0.44462,                 1.0595,             0.00021662,             0.00021662,             0.00021662
                     36,                0.66485,                0.48599,                 1.0511,                0.93262,                0.90971,                0.95695,                0.79397,                0.71529,                0.43059,                 1.0727,             0.00020425,             0.00020425,             0.00020425
                     37,                0.65437,                0.47618,                 1.0446,                0.91818,                0.89939,                0.95197,                0.78981,                 0.7227,                0.44303,                   1.09,             0.00019188,             0.00019188,             0.00019188
                     38,                0.64613,                0.45817,                 1.0433,                0.92302,                0.90721,                0.95619,                 0.7976,                0.70946,                0.42475,                 1.0699,              0.0001795,              0.0001795,              0.0001795
                     39,                0.64832,                 0.4606,                 1.0457,                0.91847,                0.90667,                0.95414,                0.79639,                0.70659,                 0.4392,                  1.071,             0.00016713,             0.00016713,             0.00016713
                     40,                0.64275,                0.45776,                 1.0386,                0.91513,                0.91938,                0.95598,                 0.7997,                0.70935,                0.42274,                 1.0715,             0.00015475,             0.00015475,             0.00015475
                     41,                0.58243,                0.34883,                0.97478,                0.91794,                0.91354,                0.95367,                0.79394,                0.70902,                0.43507,                 1.0663,             0.00014237,             0.00014237,             0.00014237
                     42,                0.57587,                0.34266,                0.97002,                0.91613,                0.90468,                 0.9484,                0.79674,                0.70826,                 0.4419,                 1.0686,                0.00013,                0.00013,                0.00013
                     43,                0.57417,                0.33485,                0.97305,                0.92535,                0.91298,                0.95476,                0.79997,                0.70834,                 0.4211,                 1.0755,             0.00011763,             0.00011763,             0.00011763
                     44,                0.56702,                0.31878,                0.97356,                0.91919,                0.91378,                0.95602,                0.80358,                0.70366,                0.41787,                 1.0771,             0.00010525,             0.00010525,             0.00010525
                     45,                0.55472,                0.31011,                0.96436,                0.93521,                0.90474,                0.95859,                0.80839,                0.70291,                 0.4101,                 1.0692,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.55138,                0.30017,                0.96419,                0.93173,                0.90775,                0.95581,                0.80653,                0.69847,                0.41739,                 1.0714,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.54301,                0.29391,                0.95397,                0.91948,                0.91208,                0.95493,                0.80965,                0.70059,                0.41475,                 1.0723,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     48,                0.53372,                 0.2816,                0.94711,                0.92891,                0.91016,                0.95354,                 0.8073,                0.69662,                 0.4159,                  1.066,              5.575e-05,              5.575e-05,              5.575e-05
                     49,                0.52799,                0.27572,                0.94342,                0.92293,                0.91434,                0.95451,                0.80932,                0.69329,                0.41803,                 1.0646,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     50,                  0.523,                0.26938,                0.94146,                0.93189,                0.90502,                0.95717,                0.81335,                0.69488,                0.40882,                 1.0702,                3.1e-05,                3.1e-05,                3.1e-05
