                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.64647,                 0.4585,                 1.0546,                  0.923,                 0.9049,                0.95026,                0.79535,                0.69846,                0.44052,                 1.0991,             0.00020425,             0.00020425,             0.00020425
                     37,                 0.6339,                 0.4472,                 1.0422,                0.92279,                0.90882,                0.95673,                 0.8032,                0.69855,                0.42093,                 1.0959,             0.00019188,             0.00019188,             0.00019188
                     38,                0.62495,                0.42666,                 1.0387,                0.92553,                0.91147,                0.95652,                0.80736,                0.69205,                0.40994,                 1.0865,              0.0001795,              0.0001795,              0.0001795
                     39,                0.62443,                0.43574,                 1.0434,                0.92383,                 0.9183,                0.96024,                0.80691,                0.69477,                0.41219,                 1.0964,             0.00016713,             0.00016713,             0.00016713
                     40,                0.62215,                0.42312,                 1.0358,                0.93519,                0.90634,                0.95752,                0.80684,                0.69652,                0.39958,                 1.0883,             0.00015475,             0.00015475,             0.00015475
                     41,                0.55626,                0.32082,                0.97373,                0.91895,                0.92189,                0.95621,                0.80536,                0.69203,                0.41034,                  1.098,             0.00014237,             0.00014237,             0.00014237
                     42,                0.54927,                0.31069,                0.97703,                0.93173,                0.90637,                0.95536,                0.80895,                0.69423,                0.40428,                 1.0937,                0.00013,                0.00013,                0.00013
                     43,                0.54573,                0.30694,                0.96368,                0.93276,                0.89805,                0.95545,                0.80895,                0.69332,                0.42792,                  1.076,             0.00011763,             0.00011763,             0.00011763
                     44,                0.53655,                0.28434,                0.95884,                0.92906,                0.91073,                0.95328,                0.80755,                0.69044,                0.41234,                 1.0807,             0.00010525,             0.00010525,             0.00010525
                     45,                0.52366,                0.27935,                0.95263,                0.93649,                0.90755,                0.95946,                0.81311,                0.68909,                0.40514,                 1.0818,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.52138,                0.27261,                0.95084,                0.92374,                0.92513,                0.95925,                0.81655,                0.68896,                 0.4012,                 1.0839,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.51286,                0.26586,                0.94498,                0.93159,                0.91534,                0.96044,                0.81667,                0.68482,                0.39854,                 1.0914,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     48,                0.50111,                 0.2535,                0.93964,                0.93717,                0.91213,                0.95878,                0.81767,                0.68626,                0.39695,                 1.0885,              5.575e-05,              5.575e-05,              5.575e-05
                     49,                0.49806,                0.25144,                0.93444,                0.93761,                 0.9116,                0.95929,                0.81667,                0.68402,                0.39923,                 1.0818,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     50,                0.49304,                0.24172,                0.93325,                0.92562,                0.92562,                0.96065,                0.81799,                0.68515,                0.39527,                 1.0849,                3.1e-05,                3.1e-05,                3.1e-05
